Timestamp,star_sign,sign_matches_personality,believe_signs,current_mood,rather_fight,introvert_extrovert,type_introvert,type_extrovert,rather_live_world,describe__artist_practice,handle_stress,describes_most, ""
"2024/10/17 2:07:11 pm CET","Gemini","Oh, most defiantly","Sometimes","7","1 horse-sized duck","Introvert","Thinking introverts","N/A","van Gogh","gamifying things!","talking !!","Empathetic","van Gogh"
"2024/10/17 2:07:29 pm CET","Gemini","Oh, most defiantly","Oh, most defiantly","7","1 horse-sized duck","Extrovert","N/A","Extroverted sensors","Dali","Creative Technologist!","Go traveling","Empathetic","van Gogh"
"2024/10/17 2:07:32 pm CET","Taurus","Sometimes","Sometimes","9","100 duck-sized horses","Extrovert","N/A","Extroverted intuitives","Egon Schiele","Creative Technologist!","avoid avoid avoid !!!!","Impulsive","van Gogh"
"2024/10/17 2:10:00 pm CET","Sagittarius","Oh, most defiantly","Oh, most defiantly","7","1 horse-sized duck","Extrovert","N/A","Extroverted intuitives","Dali","Creative Technologist!","exercise","Impulsive",""
"2024/10/17 2:10:14 pm CET","Capricorn","Sometimes","No","4","100 duck-sized horses","Introvert","Thinking introverts","N/A","Dali","Creative Technologist!","Go traveling","Unconventional",""
"2024/10/17 2:11:17 pm CET","Aquarius","Sometimes","Sometimes","8","100 duck-sized horses","Extrovert","N/A","Extroverted intuitives","Dali","Artist","talking !!","Unconventional",""
"2024/10/17 2:11:54 pm CET","Capricorn","No","No","10","1 horse-sized duck","Introvert","Social introverts","Extroverted intuitives","van Gogh","Creative Technologist!","avoid avoid avoid !!!!","Secretive",""
"2024/10/17 2:12:24 pm CET","Capricorn","No","No","6","1 horse-sized duck","Extrovert","N/A","N/A","Dali","Creative Technologist!","avoid avoid avoid !!!!","Talkative",""
"2024/10/17 2:15:56 pm CET","Pisces","Oh, most defiantly","Sometimes","5","1 horse-sized duck","Introvert","Anxious introverts","N/A","Monet","Creative Technologist!","avoid avoid avoid !!!!","Empathetic",""
"2024/10/17 2:17:58 pm CET","Leo","Sometimes","Sometimes","6","1 horse-sized duck","Introvert","Thinking introverts","N/A","van Gogh","Creative Technologist!","Go traveling","Empathetic",""
"2024/10/17 4:40:41 pm CET","Scorpio","Oh, most defiantly","Sometimes","5","100 duck-sized horses","Extrovert","N/A","Extroverted feelers,","van Gogh","Creative","talking !!","Talkative",""
"2024/10/17 5:03:13 pm CET","Cancer","No","Sometimes","7","1 horse-sized duck","Introvert","Restrained/inhibited introverts","N/A","Egon Schiele","Designers","Watching true crime!!!!","Indecisive",""
"2024/10/17 6:01:02 pm CET","Aries","No","No","10","1 horse-sized duck","Introvert","Thinking introverts","N/A","Dali","Creative","exercise","Empathetic",""
"2024/10/17 7:17:09 pm CET","Gemini","No","No","4","1 horse-sized duck","Extrovert","N/A","Extroverted feelers,","None","N/A","talking !!","Trust worthy and reliable with my close ones",""
"2024/10/17 7:49:09 pm CET","Cancer","No","No","8","1 horse-sized duck","Introvert","Thinking introverts","N/A","van Gogh","Engineering ","exercise","Perfectionistic",""
"2024/10/17 8:37:27 pm CET","Taurus","Sometimes","Sometimes","7","1 horse-sized duck","Introvert","Social introverts","N/A","van Gogh","Creative Technologist!","Go traveling","Empathetic",""
"2024/10/18 9:32:59 am CET","Sagittarius","No","No","7","100 duck-sized horses","Extrovert","N/A","Extroverted intuitives","JMW Turner","Creative Technologist!","talking !!","Adventurous",""
"2024/10/20 2:52:26 pm CET","Libra","Sometimes","No","8","100 duck-sized horses","Extrovert","N/A","Extroverted intuitives","van Gogh","Creative","avoid avoid avoid !!!!","Perfectionistic",""
"2024/10/21 11:05:19 am CET","Aquarius","Sometimes","No","8","100 duck-sized horses","Introvert","Thinking introverts","N/A","Alex Colville","Creative Technologist!","avoid avoid avoid !!!!","Indecisive",""